20
(18937.349609, 6911544.000000, 10.620000) (0.5, 0.5, 0.5) (1, 0)
(18241.388672, 6909052.000000, 6.810000) (0.5, 0.5, 0.5) (1, 0)
(18798.789062, 6909113.000000, 6.580000) (0.5, 0.5, 0.5) (1, 0)
(15755.830078, 6909088.000000, 6.780000) (0.5, 0.5, 0.5) (1, 0)
(18442.958984, 6910223.000000, 8.900000) (0.5, 0.5, 0.5) (1, 0)
(17246.529297, 6910490.000000, 9.170000) (0.5, 0.5, 0.5) (1, 0)
(19519.138672, 6907028.500000, 6.500000) (0.5, 0.5, 0.5) (1, 0)
(18029.279297, 6905872.000000, 9.260000) (0.5, 0.5, 0.5) (1, 0)
(18649.708984, 6905463.000000, 7.680000) (0.5, 0.5, 0.5) (1, 0)
(16276.040039, 6906766.500000, 8.070000) (0.5, 0.5, 0.5) (1, 0)
(17089.189453, 6906903.500000, 6.910000) (0.5, 0.5, 0.5) (1, 0)
(17529.689453, 6907310.000000, 6.390000) (0.5, 0.5, 0.5) (1, 0)
(18651.369141, 6907603.000000, 6.520000) (0.5, 0.5, 0.5) (1, 0)
(16915.830078, 6905970.500000, 7.340000) (0.5, 0.5, 0.5) (1, 0)
(18530.968750, 6906470.000000, 8.000000) (0.5, 0.5, 0.5) (1, 0)
(16493.298828, 6905779.000000, 8.270000) (0.5, 0.5, 0.5) (1, 0)
(18918.869141, 6908352.000000, 6.820000) (0.5, 0.5, 0.5) (1, 0)
(18195.878906, 6906039.500000, 9.170000) (0.5, 0.5, 0.5) (1, 0)
(16918.279297, 6911042.500000, 9.500000) (0.5, 0.5, 0.5) (1, 0)
(17655.548828, 6909995.500000, 8.890000) (0.5, 0.5, 0.5) (1, 0)
